IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.20.5.233,200,200,200,90
104.23.134.81,201,201,201,90
104.20.127.60,201,201,201,90
172.67.116.105,202,202,202,90
104.25.168.24,202,202,202,90
104.20.134.238,203,203,203,90
104.19.82.18,203,203,203,90
104.21.99.158,203,203,203,90
104.20.102.51,203,203,203,90
104.25.216.203,204,204,204,90
172.64.50.235,204,204,204,90
198.217.251.61,204,204,204,90
104.20.107.222,204,204,204,90
104.25.211.197,204,204,204,90
104.24.254.38,205,205,205,90
172.65.167.208,205,205,205,90
172.67.228.235,206,206,206,90
104.25.11.0,206,206,206,90
104.20.179.198,206,206,206,90
104.20.11.151,207,207,207,90
104.20.170.19,207,207,207,90
104.19.39.67,207,207,207,90
104.25.15.112,207,207,207,90
104.27.5.208,207,207,207,90
104.27.194.216,207,207,207,90
172.67.49.218,208,208,208,90
104.24.22.5,208,208,208,90
104.21.8.96,208,208,208,90
104.27.123.94,208,208,208,90
104.24.198.24,208,208,208,90
104.21.208.0,208,208,208,90
104.27.113.25,209,209,209,90
104.23.99.22,209,209,209,90
104.27.13.253,210,210,210,90
104.25.171.235,210,210,210,90
104.25.191.124,210,210,210,90
104.25.180.65,210,210,210,90
104.25.194.126,211,211,211,90
104.20.176.213,211,211,211,90
104.20.247.68,212,212,212,90
104.27.195.137,216,216,216,90
104.18.39.142,216,216,216,90
104.24.199.248,217,217,217,90
104.23.96.57,218,218,218,90
172.66.2.166,219,219,219,90
104.27.115.21,219,219,219,90
104.25.117.37,223,223,223,90
104.24.246.212,227,227,227,90
104.19.21.151,228,228,228,90
172.67.60.241,232,232,232,90
172.64.155.47,241,241,241,90
104.20.108.83,254,254,254,90
